id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate
445;Tchico peanuts;Confitures & Tartinables;6111266750753;;;50;5;159.jpg;
346;confiture;Confitures & Tartinables;6111184001098;;;50;5;160.jpg;
639;Boustan Cocktail de fruits;Conserves;;;;50;5;161.jpg;
11;Connétable Filets de sardines à l’huile d’olive vierge extra;Conserves;6111035000027;;;50;5;162.jpg;
589;Cornichons;Conserves;;;;50;5;163.jpg;
594;Daucy Flageolets verts;Conserves;;;;50;5;164.jpg;
558;Daucy Haricots rouges;Conserves;;;;50;5;165.jpg;
583;Daucy Haricots rouges;Conserves;;;;50;5;166.jpg;
517;Daucy Haricots verts;Conserves;;;;50;5;167.jpg;
620;Daucy Haricots verts - lot;Conserves;;;;50;5;168.jpg;
667;Daucy Haricots verts - lot;Conserves;;;;50;5;169.jpg;
686;Daucy Haricots verts - lot;Conserves;;;;50;5;170.jpg;
701;Fayz Champignons;Conserves;;;;50;5;171.jpg;
610;Karina Cornichons;Conserves;;;;50;5;172.jpg;
619;Maille Cornichons;Conserves;;;;50;5;173.jpg;
514;Marjane Champignons de Paris entiers;Conserves;;;;50;5;174.jpg;
566;Panzani Cornichons;Conserves;;;;50;5;175.jpg;
556;Petit Navire / Thon;Conserves;;;;50;5;176.jpg;
615;Star Cornichons;Conserves;;;;50;5;177.jpg;
670;Star Cornichons;Conserves;;;;50;5;178.jpg;
554;Tamima Filets de thon;Conserves;;;;50;5;179.jpg;
501;Thon Garcia;Conserves;;;;50;5;180.jpg;
469;Thon a lhuile;Conserves;3341430490380;11.90;;50;5;181.jpg;
175;AQUAFINA;Eaux;6111252422008;;;50;5;182.jpg;
177;Acyl;Eaux;6111273590021;;;50;5;183.jpg;
199;Acyl;Eaux;6111273590007;;;50;5;184.jpg;
178;Ain Atlas;Eaux;6111035001710;;;50;5;185.jpg;
23;Ain Atlas;Eaux;6111035001659;;;50;5;186.jpg;
37;Ain Atlas;Eaux;6111035001635;;;50;5;187.jpg;
334;Ain Saiss;Eaux;6111128000217;;;50;5;188.jpg;
30;Ain Saiss Eau Minerale Naturelle;Eaux;6111128000163;;;50;5;189.jpg;
357;Ain soltane 50cl;Eaux;6111248360123;;;50;5;190.jpg;
256;Aquafina;Eaux;6111252421971;;;50;5;191.jpg;
62;Aquafina 50cl;Eaux;6111252421575;;;50;5;192.jpg;
43;Aïn Atlas 50cl;Eaux;6111035001673;;;50;5;193.jpg;
172;Aïn Ifran Eau minérale naturelle;Eaux;6111251420272;;;50;5;194.jpg;
221;Aïn Ifrane;Eaux;6111251420135;;;50;5;195.jpg;
89;Aïn Soltane;Eaux;6111248360130;;;50;5;196.jpg;
104;Bahia, Eau De Table;Eaux;6111035003509;;;50;5;197.jpg;
261;Bul'tropicale;Eaux;6111035002052;;;50;5;198.jpg;
27;Ciel;Eaux;5449000061515;;;50;5;199.jpg;
22;Ciel 33cl;Eaux;42104964;;;50;5;200.jpg;
168;Ciel 50cl;Eaux;5449000135544;;;50;5;201.jpg;
226;Eau;Eaux;6111248360116;;;50;5;202.jpg;
49;Eau;Eaux;6111251420166;;;50;5;203.jpg;
205;Eau de source naturelle La Source;Eaux;6111271800030;;;50;5;204.jpg;
93;Eau de table;Eaux;5449000206770;;;50;5;205.jpg;
389;Eau de table purifiée;Eaux;6111248360291;;;50;5;206.jpg;
405;Eau mineral 33cl aman;Eaux;6111248360376;;;50;5;207.jpg;
204;Eau minerale;Eaux;6111035001383;;;50;5;208.jpg;
13;Eau minéral naturelle;Eaux;6111035502828;;;50;5;209.jpg;
302;Eau minérale;Eaux;6111128000477;;;50;5;210.jpg;
4;Eau minérale naturelle;Eaux;6111035000058;;;50;5;211.jpg;
100;Eau minérale naturelle gazeuse;Eaux;6111035502941;;;50;5;212.jpg;
424;Filets De Maquereaux À L’huile Végétale;Eaux;769503575261;;;50;5;213.jpg;
