id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate;priceStatus;imageStatus
134;Délicia - confiture d'abricot;Confitures & Tartinables;6111162001188;0.0;0.0;50;5;134.jpg;;MISSING;MISSING
135;El Baraka Confiture D'abricots 430 G;Confitures & Tartinables;6111184000213;0.0;0.0;50;5;135.jpg;;MISSING;MISSING
136;Konfitura Morelowa 240g*EL Baraka*;Confitures & Tartinables;6111184000190;0.0;0.0;50;5;136.jpg;;MISSING;MISSING
137;La delicieuse;Confitures & Tartinables;6111250471565;0.0;0.0;50;5;137.jpg;;MISSING;MISSING
138;Nutella;Confitures & Tartinables;80176800;89.95;0.0;50;5;138.jpg;;OK;MISSING
139;Peripella;Confitures & Tartinables;6111250474405;0.0;0.0;50;5;139.jpg;;MISSING;MISSING
140;Pâte à tartiner aux noisettes et au cacao;Confitures & Tartinables;6111037002753;0.0;0.0;50;5;140.jpg;;MISSING;OK
141;Tchico peanuts;Confitures & Tartinables;6111266750753;0.0;0.0;50;5;141.jpg;;MISSING;MISSING
142;confiture;Confitures & Tartinables;6111184001098;0.0;0.0;50;5;142.jpg;;MISSING;MISSING
143;Boustan Cocktail de fruits;Conserves;;0.0;0.0;50;5;143.jpg;;MISSING;MISSING
144;Connétable Filets de sardines à l’huile d’olive vierge extra;Conserves;6111035000027;0.0;0.0;50;5;144.jpg;;MISSING;MISSING
145;Cornichons;Conserves;;0.0;0.0;50;5;145.jpg;;MISSING;MISSING
146;Daucy Flageolets verts;Conserves;;0.0;0.0;50;5;146.jpg;;MISSING;MISSING
147;Daucy Haricots rouges;Conserves;;0.0;0.0;50;5;147.jpg;;MISSING;MISSING
148;Daucy Haricots verts;Conserves;;0.0;0.0;50;5;148.jpg;;MISSING;MISSING
149;Daucy Haricots verts - lot;Conserves;;0.0;0.0;50;5;149.jpg;;MISSING;MISSING
150;Fayz Champignons;Conserves;;0.0;0.0;50;5;150.jpg;;MISSING;MISSING
151;Karina Cornichons;Conserves;;0.0;0.0;50;5;151.jpg;;MISSING;MISSING
152;Maille Cornichons;Conserves;;0.0;0.0;50;5;152.jpg;;MISSING;MISSING
153;Marjane Champignons de Paris entiers;Conserves;;0.0;0.0;50;5;153.jpg;;MISSING;MISSING
154;Panzani Cornichons;Conserves;;0.0;0.0;50;5;154.jpg;;MISSING;MISSING
155;Petit Navire / Thon;Conserves;;0.0;0.0;50;5;155.jpg;;MISSING;MISSING
156;Star Cornichons;Conserves;;0.0;0.0;50;5;156.jpg;;MISSING;MISSING
157;Tamima Filets de thon;Conserves;;0.0;0.0;50;5;157.jpg;;MISSING;MISSING
158;Thon Garcia;Conserves;;0.0;0.0;50;5;158.jpg;;MISSING;MISSING
159;Thon a lhuile;Conserves;3341430490380;11.9;0.0;50;5;159.jpg;;OK;MISSING
160;AQUAFINA;Eaux;6111252422008;0.0;0.0;50;5;160.jpg;;MISSING;MISSING
161;Acyl;Eaux;6111273590021;0.0;0.0;50;5;161.jpg;;MISSING;MISSING
162;Acyl;Eaux;6111273590007;0.0;0.0;50;5;162.jpg;;MISSING;MISSING
163;Ain Atlas;Eaux;6111035001710;0.0;0.0;50;5;163.jpg;;MISSING;MISSING
164;Ain Atlas;Eaux;6111035001659;0.0;0.0;50;5;164.jpg;;MISSING;MISSING
165;Ain Atlas;Eaux;6111035001635;0.0;0.0;50;5;165.jpg;;MISSING;MISSING
166;Ain Saiss;Eaux;6111128000217;0.0;0.0;50;5;166.jpg;;MISSING;MISSING
167;Ain Saiss Eau Minerale Naturelle;Eaux;6111128000163;0.0;0.0;50;5;167.jpg;;MISSING;MISSING
168;Ain soltane 50cl;Eaux;6111248360123;0.0;0.0;50;5;168.jpg;;MISSING;MISSING
169;Aquafina;Eaux;6111252421971;0.0;0.0;50;5;169.jpg;;MISSING;MISSING
170;Aquafina 50cl;Eaux;6111252421575;0.0;0.0;50;5;170.jpg;;MISSING;MISSING
171;Aïn Atlas 50cl;Eaux;6111035001673;0.0;0.0;50;5;171.jpg;;MISSING;MISSING
172;Aïn Ifran Eau minérale naturelle;Eaux;6111251420272;0.0;0.0;50;5;172.jpg;;MISSING;MISSING
