id;name;barcode;price
305;Activia ananas fraise;6111032009443;0.00
201;Albane Lait Entier UHT 1L;6111265800497;0.00
29;Assil vanille;6111032001003;0.00
210;Beurre Badaouia;6111242660373;0.00
67;Beurre Frais Pasteurisé;6111242105331;0.00
339;Campo Verde;6111266680098;0.00
472;Campo verde;6111266680883;0.00
247;Chergui Lait;6111126005580;0.00
461;Chergui creme fruit de bois;6111126001872;0.00
429;Chergui creme 🥭 mangue;6111126001865;0.00
416;Chergui protéine vanille;6111126005702;0.00
167;Classique Douceur de lait;6111203007377;0.00
151;Coeur de lait;6111206000696;0.00
57;Cream Cheese;6111246721964;0.00
12;Cream cheese;6111246721278;0.00
388;Creem cheese;6111246721971;0.00
500;Crem Pro Premium - Crème de Cuisson et Liaison;6111259093522;0.00
95;Croissance réduit en sucre;6111242103528;0.00
381;Crème caramel;6111032007968;0.00
422;Crème cuisson;6111242109391;0.00
63;DANONE ASSIL BANANE;6111032001010;0.00
182;Dan up;6111032004455;0.00
374;Danao Pèche - Abricot;6111032006985;0.00
169;Danette;6111032006718;0.00
184;Danone (zéro sucre ajouté zéro matière grasse);6111032010128;0.00
209;Danone - Peche;6111032010333;0.00
92;Danone nature;6111032002925;0.00
251;Danup fraise;6111032004448;0.00
712;Dari Riz au lait / dessert;;0.00
450;Daya Avocat;6111126002763;0.00
223;Dessert gourmand choco;6111242102552;0.00
233;Douceur fromage frais;6111126005085;0.00
364;Délicimo : Stracciatella;6111242106789;0.00
119;El Mejor Chef;6111260232095;0.00
440;Fawakih mchmach khokh;6111126001599;0.00
286;Fromage;6111203003263;0.00
245;Fromage Fondu;6111265930385;0.00
1;Fromage blanc nature;6111246721261;0.00
111;Fromage blanc nature;6111246721735;0.00
441;Fromage complet socrech;6111242190146;0.00
227;Fromage fondu Tartine & Cuisson;6111246722169;0.00
24;Frommage fondu;6111246722107;0.00
229;Ftoury Fromage Blanc;6111246721339;0.00
35;Gervais fromage frais nature sucré;6111032008583;0.00
348;Gervais fromage à la créme;6111032008125;0.00
110;Ghani;6111242102187;0.00
439;Ghani;6111242102194;0.00
487;Ghilal;6111242105270;0.00
45;Goldium Blanc Nature;6111259092525;0.00
